  ;Poids-kg;Diam-m;Def-m;Fmax-N;Fermeté/dép;Travail;p.c.perte;Pression;L surimp;a surimp;b surimp;L fond;a fond;b fond;Ethylène (nmole/h.kg;Log(éthyl);IR (°Brix);AT (meq/100gMF);glucose (g/100gMF);fructose (g/100gMF);saccharose (g/100gMF;citrate (meq/100gMF);malate (meq/100gMF)
371p05                                   ;0.048 ;0.036925 ;0.0011 ;17.11 ;15553 ;9.41 ;0.3 ;272.21 ;40.7 ;22.68 ;18.59 ;64.15 ;-6.78 ;42.43 ;13.145 ;2.58 ;9.7 ;37.89 ;1.28 ;0.52 ;2.48 ;36.8 ;3.95
371p06                                   ;0.0402 ;0.036925 ;0.0011 ;18.84 ;17123 ;10.36 ;0.34 ;299.68 ;42 ;15.35 ;16.94 ;58.15 ;-13.2 ;39.15 ;4.14 ;1.42 ;7.1 ;36.23 ;1.3 ;0.47 ;1.71 ;37.92 ;4.98
371p07                                   ;0.042 ;0.035425 ;0.00105 ;17.15 ;16331 ;9 ;0.46 ;297.9 ;37.42 ;30.03 ;14.53 ;60.99 ;-6.71 ;36.84 ;7.907 ;2.07 ;9.7 ;35.82 ;2.69 ;0.91 ;5.46 ;38.45 ;4.57
371p08                                   ;0.0474 ;0.037463 ;0.0011125 ;11.7 ;10520 ;6.51 ;0.93 ;181.46 ;35.3 ;29.44 ;12.98 ;56.41 ;5.43 ;34.76 ;24.381 ;3.19 ;13.2 ;40.58 ;2.28 ;0.74 ;4.27 ;34.88 ;5.33
371p09                                   ;0.0352 ;0.033862 ;0.001 ;19.79 ;19787 ;9.89 ;0.48 ;377.57 ;38.78 ;22.7 ;16.66 ;59.7 ;-12.31 ;40.29 ;25.099 ;3.22 ;7.6 ;35.01 ;1.17 ;0.5 ;1.72 ;36.07 ;4.15
371p11                                   ;0.0605 ;0.0416 ;0.0012375 ;9.55 ;7721.2 ;5.91 ;1.02 ;119.94 ;37.75 ;25.23 ;14.26 ;58.76 ;-9.25 ;35.81 ;76.228 ;4.33 ;11.4 ;33.02 ;1.4 ;0.57 ;4.01 ;32.73 ;4.56
371p12                                   ;0.0667 ;0.040775 ;0.0012125 ;17.34 ;14304 ;10.51 ;0.52 ;226.71 ;36.69 ;28.98 ;13.18 ;63.77 ;-8.83 ;38.51 ;38.221 ;3.64 ;10.2 ;34.64 ;1.19 ;0.46 ;3.33 ;33.5 ;4.94
371p13                                   ;0.0441 ;0.035287 ;0.00105 ;14.09 ;13416 ;7.4 ;0.43 ;245.7 ;38.71 ;27.6 ;17.17 ;54.28 ;0.78 ;35.56 ;4.839 ;1.58 ;11 ;42.53 ;1.34 ;0.51 ;2.29 ;44.38 ;5.24
371p14                                   ;0.0445 ;0.0381 ;0.001125 ;15.56 ;13830 ;8.75 ;0.52 ;234.55 ;42.92 ;24.43 ;23.91 ;55.53 ;13.88 ;34.01 ;18.772 ;2.93 ;10.2 ;34.68 ;1.24 ;0.52 ;2.82 ;34.21 ;4.6
371p15                                   ;0.0436 ;0.037588 ;0.0011125 ;22.21 ;19964 ;12.35 ;0.43 ;343.21 ;38.56 ;33.56 ;18.63 ;58.68 ;15.04 ;37.12 ;5.178 ;1.64 ;8.7 ;35.56 ;1.21 ;0.58 ;1.74 ;34.73 ;4.04
371p16                                   ;0.0488 ;0.038 ;0.001125 ;26.9 ;23910 ;15.13 ;0.63 ;406.59 ;38.95 ;26.01 ;14.84 ;56.52 ;5.49 ;33.66 ;5.164 ;1.64 ;10.6 ;39.06 ;1.53 ;0.72 ;2.03 ;40.83 ;3.99
371p17                                   ;0.0524 ;0.038825 ;0.00115 ;12.13 ;10552 ;6.98 ;0.61 ;175.63 ;38.51 ;32.34 ;15.25 ;63.08 ;9.64 ;41.51 ;32.768 ;3.49 ;10.6 ;29.17 ;1.36 ;0.59 ;2.89 ;25.46 ;3.83
371p18                                   ;0.0361 ;0.034263 ;0.0010125 ;15.76 ;15570 ;7.98 ;0.47 ;293.64 ;40.22 ;23.78 ;15.25 ;57.28 ;-7.25 ;35.5 ;6.069 ;1.8 ;10.1 ;35.59 ;1.39 ;0.56 ;2.39 ;36.13 ;4.51
371p19                                   ;0.0364 ;0.034625 ;0.001025 ;16.67 ;16261 ;8.54 ;0.54 ;303.46 ;35.81 ;26.54 ;13.1 ;54.95 ;3.58 ;33.77 ;7.606 ;2.03 ;8 ;33.06 ;1.42 ;0.61 ;2.07 ;43.04 ;5.25
371p21                                   ;0.0543 ;0.04005 ;0.0011875 ;17.92 ;15093 ;10.64 ;0.56 ;243.52 ;42.61 ;18.64 ;16.31 ;64.14 ;-8.62 ;41.46 ;12.479 ;2.52 ;9.2 ;36.07 ;1.13 ;0.58 ;2.47 ;36.61 ;4.46
371p22                                   ;0.0516 ;0.03835 ;0.0011375 ;19.31 ;16972 ;10.98 ;0.49 ;285.99 ;36.56 ;23.99 ;11.18 ;62.38 ;-9.73 ;37.47 ;7.444 ;2.01 ;9.1 ;38.45 ;0.93 ;0.44 ;2.44 ;34.85 ;4.96
371p23                                   ;0.0419 ;0.036288 ;0.001075 ;20.44 ;19018 ;10.99 ;0.31 ;338.66 ;38.42 ;18.37 ;15.9 ;60.76 ;-11.41 ;37.49 ;4.463 ;1.5 ;8.2 ;35.51 ;1.09 ;0.57 ;1.78 ;35.75 ;4.44
371p24                                   ;0.0411 ;0.036475 ;0.0010875 ;20.4 ;18763 ;11.1 ;0.38 ;332.44 ;37.4 ;28.28 ;15.01 ;60.52 ;-6.04 ;39.1 ;7.327 ;1.99 ;8.6 ;32.08 ;1.24 ;0.67 ;2.02 ;31.03 ;4.13
371p25                                   ;0.0431 ;0.037975 ;0.001125 ;23.87 ;21216 ;13.43 ;0.33 ;361.01 ;39.84 ;25.4 ;15.56 ;59.43 ;-9.74 ;37.36 ;3.737 ;1.32 ;8.5 ;34.04 ;1.35 ;0.6 ;1.32 ;35.98 ;3.27
371p26                                   ;0.0477 ;0.037575 ;0.0011125 ;30.18 ;27124 ;16.79 ;0.47 ;466.46 ;36.55 ;26.05 ;15.3 ;61.5 ;-8.73 ;36.91 ;5.143 ;1.64 ;9.7 ;35.63 ;1.25 ;0.65 ;2.01 ;37.56 ;3.74
371p27                                   ;0.0518 ;0.037538 ;0.0011125 ;28.97 ;26039 ;16.11 ;0.37 ;448.26 ;35.71 ;23.43 ;10.17 ;61.28 ;-10.04 ;38.75 ;9.382 ;2.24 ;9.8 ;37.2 ;1.24 ;0.66 ;2.19 ;37.51 ;4.81
371p28                                   ;0.0365 ;0.035237 ;0.00105 ;17.96 ;17107 ;9.43 ;0.43 ;313.73 ;37.15 ;25.56 ;12.83 ;59.2 ;-9.73 ;38.7 ;7.798 ;2.05 ;8.4 ;36.41 ;1.38 ;0.71 ;1.45 ;37.86 ;3.97
371p29                                   ;0.0402 ;0.036562 ;0.0010875 ;12.46 ;11456 ;6.77 ;0.55 ;202.49 ;39.79 ;30.83 ;16.54 ;55.12 ;20.74 ;36.19 ;27.06 ;3.3 ;7.7 ;33.06 ;1.71 ;0.72 ;2.45 ;32.55 ;4.59
371p31                                   ;0.0446 ;0.036487 ;0.0010875 ;13.77 ;12665 ;7.49 ;0.62 ;224.32 ;38.44 ;33.36 ;19.41 ;50.92 ;21.19 ;32.3 ;18.786 ;2.93 ;11 ;32.43 ;1.71 ;0.67 ;2.61 ;35.31 ;4.44
371p32                                   ;0.0439 ;0.0377 ;0.0011125 ;14.59 ;13112 ;8.11 ;0.53 ;224.74 ;37.72 ;35.97 ;17.29 ;62.15 ;1.88 ;40.93 ;13.095 ;2.57 ;10.2 ;32.56 ;1.92 ;0.87 ;2.32 ;34.06 ;4.16
371p33                                   ;0.0541 ;0.040888 ;0.0012125 ;24.65 ;20332 ;14.95 ;0.46 ;321.33 ;47.57 ;7.04 ;22.6 ;62.82 ;-8.96 ;39.11 ;7.082 ;1.96 ;8.2 ;33.15 ;0.99 ;0.6 ;2.15 ;35.78 ;4.62
371p34                                   ;0.042 ;0.035525 ;0.00105 ;22.98 ;21890 ;12.07 ;0.35 ;398.17 ;46.28 ;13.45 ;20.35 ;62.97 ;-11.59 ;38.38 ;3.363 ;1.21 ;8 ;36.1 ;1.05 ;0.59 ;1.97 ;40.84 ;4.53
371p35                                   ;0.036 ;0.034763 ;0.001025 ;13.61 ;13275 ;6.97 ;0.68 ;246.74 ;45.06 ;23.1 ;23 ;62.45 ;-2.19 ;40.53 ;11.023 ;2.4 ;8.6 ;30.59 ;1.55 ;0.87 ;1.64 ;33.72 ;3.58
